col0,col1,col2
350.796233056681,-4.90038942650482,2458724.7119184695
350.796863835603,-4.9534922873186495,2458724.7119184695
350.79840009529687,-4.931070609382333,2458724.7119184695
350.798386066285,-5.0043375862090285,2458724.7119184695
350.8003524214037,-4.938527397729499,2458724.7119184695
350.82183988880126,-4.948015918859145,2458724.7119184695
350.824511070904,-4.959347115592067,2458724.7119184695
350.82458284536807,-4.959785653850135,2458724.7119184695
350.8249510465142,-4.914424859190783,2458724.7119184695
350.82559003819443,-4.898798283212616,2458724.7119184695
350.8280191574038,-4.960672507831942,2458724.7119184695
350.82772554031646,-4.960963854442182,2458724.7119184695
350.828071987926,-4.990112413625878,2458724.7119184695
350.8308347357728,-4.9956718833106954,2458724.7119184695
350.8315671074904,-4.995454952235413,2458724.7119184695
350.83503216441164,-4.89802241469666,2458724.7119184695
350.8546755937192,-4.930141768224928,2458724.7119184695
350.8624305876491,-4.951932981151627,2458724.7119184695
350.8653554869398,-4.908332394316093,2458724.7119184695
350.8769350102917,-4.944741537121006,2458724.7119184695
350.8812250967221,-4.908521828020449,2458724.7119184695
350.8851524586178,-4.8937053584938965,2458724.7119184695
350.8885818830519,-4.9387834037208345,2458724.7119184695
350.89203123298097,-5.003594807568839,2458724.7119184695
350.8926902583507,-5.003304537585028,2458724.7119184695
350.8935150220744,-5.0200327977020045,2458724.7119184695
350.89494303673507,-4.984462998338153,2458724.7119184695
350.8984163623741,-4.996089013012554,2458724.7119184695
350.9153269444658,-4.989415680409781,2458724.7119184695
350.9234004136182,-4.956339224601056,2458724.7119184695
350.92381016432176,-4.98863578432922,2458724.7119184695
350.9250948275534,-4.952325229617142,2458724.7119184695
350.92960997515013,-5.004433826511635,2458724.7119184695
350.9298304237253,-5.004069156590287,2458724.7119184695
350.92924578647313,-5.003994425101289,2458724.7119184695
350.92980065065575,-4.922017715201282,2458724.7119184695
350.92962033197585,-5.001073050337474,2458724.7119184695
350.9402497243246,-4.9682215944131,2458724.7119184695
350.94220297101714,-4.886762507014771,2458724.7119184695
350.9421037301394,-4.915547053741465,2458724.7119184695
350.9478585394131,-4.92147937611657,2458724.7119184695
350.9577157835969,-4.946931143381282,2458724.7119184695
350.96240684265956,-4.920931389699535,2458724.7119184695
350.9725523150259,-4.970646079176647,2458724.7119184695
350.97994079891595,-5.017072240196461,2458724.7119184695
350.996592511302,-4.997751719410964,2458724.7119184695
350.99991941862964,-4.985335355984224,2458724.7119184695
351.00774879781966,-4.982870909939541,2458724.7119184695
351.0086767468471,-4.966354869513708,2458724.7119184695
351.00968895985847,-5.018984127204437,2458724.7119184695
351.01184685703805,-4.891088437465666,2458724.7119184695
351.020435025005,-4.902217096653904,2458724.7119184695
351.0282480748477,-4.949593760438176,2458724.7119184695
351.03203326702857,-4.887697772395579,2458724.7119184695
351.03477784749276,-4.942300998456561,2458724.7119184695
351.03499389286753,-4.990763806947312,2458724.7119184695
351.0371469200975,-4.910806615323603,2458724.7119184695
351.03940479923136,-4.935734339207677,2458724.7119184695
351.04109860277765,-4.978571409180931,2458724.7119184695
351.04274404470186,-4.966441009330369,2458724.7119184695
351.0438467691235,-4.988666830981414,2458724.7119184695
351.0475685373732,-4.943428298788136,2458724.7119184695
351.04863542657114,-4.885394509527817,2458724.7119184695
351.04783125654814,-4.885392773335114,2458724.7119184695
351.0489738324441,-5.010832624893728,2458724.7119184695
351.04958585594477,-4.952862099878063,2458724.7119184695
351.05111432704683,-5.003819578742375,2458724.7119184695
351.05207935406474,-4.882989184360549,2458724.7119184695
351.052423362468,-5.006308915182433,2458724.7119184695
351.0546461104092,-4.971587794075636,2458724.7119184695
351.0612378098075,-4.992513541195125,2458724.7119184695
351.0617485568405,-4.922119375719623,2458724.7119184695
351.0623234412984,-4.948068730843602,2458724.7119184695
351.06224893788794,-4.94850712492657,2458724.7119184695
351.06234498628635,-4.941270989796152,2458724.7119184695
351.0641113108245,-4.892666015630299,2458724.7119184695
351.07174796004483,-4.9994868769433936,2458724.7119184695
351.0719911756984,-4.943194443241332,2458724.7119184695
351.0733627604147,-4.972584744161855,2458724.7119184695
351.07952801167056,-4.989781931353546,2458724.7119184695
351.08169968580495,-4.92582032604409,2458724.7119184695
350.7962243860078,-4.900463371336374,2458724.7136419127
